ID,nT,m,k,power,base,K,seed,num_iter,num_burn,num_thin
122,300,200,2,2,0.95,100,122,5000,2500,5
123,300,200,2,2,0.95,100,123,5000,2500,5
124,300,200,2,2,0.95,100,124,5000,2500,5
125,300,200,2,2,0.95,100,125,5000,2500,5
126,300,200,2,2,0.95,100,126,5000,2500,5
127,300,200,2,2,0.95,100,127,5000,2500,5
128,300,200,2,2,0.95,100,128,5000,2500,5
129,300,200,2,2,0.95,100,129,5000,2500,5
130,300,200,2,2,0.95,100,130,5000,2500,5
131,300,200,2,2,0.95,100,131,5000,2500,5
132,300,200,2,2,0.95,100,132,5000,2500,5
133,300,200,2,2,0.95,100,133,5000,2500,5
134,300,200,2,2,0.95,100,134,5000,2500,5
135,300,200,2,2,0.95,100,135,5000,2500,5
136,300,200,2,2,0.95,100,136,5000,2500,5
137,300,200,2,2,0.95,100,137,5000,2500,5
138,300,200,2,2,0.95,100,138,5000,2500,5
139,300,200,2,2,0.95,100,139,5000,2500,5
140,300,200,2,2,0.95,100,140,5000,2500,5
141,300,200,2,2,0.95,100,141,5000,2500,5
142,300,200,2,2,0.95,100,142,5000,2500,5
143,300,200,2,2,0.95,100,143,5000,2500,5
144,300,200,2,2,0.95,100,144,5000,2500,5
145,300,200,2,2,0.95,100,145,5000,2500,5
146,300,200,2,2,0.95,100,146,5000,2500,5
147,300,200,2,2,0.95,100,147,5000,2500,5
148,300,200,2,2,0.95,100,148,5000,2500,5
149,300,200,2,2,0.95,100,149,5000,2500,5
150,300,200,2,2,0.95,100,150,5000,2500,5
151,300,200,2,2,0.95,100,151,5000,2500,5
152,300,200,2,2,0.95,100,152,5000,2500,5
153,300,200,2,2,0.95,100,153,5000,2500,5
154,300,200,2,2,0.95,100,154,5000,2500,5
155,300,200,2,2,0.95,100,155,5000,2500,5
156,300,200,2,2,0.95,100,156,5000,2500,5
157,300,200,2,2,0.95,100,157,5000,2500,5
158,300,200,2,2,0.95,100,158,5000,2500,5
159,300,200,2,2,0.95,100,159,5000,2500,5
160,300,200,2,2,0.95,100,160,5000,2500,5
161,300,200,2,2,0.95,100,161,5000,2500,5
162,300,200,2,2,0.95,100,162,5000,2500,5
163,300,200,2,2,0.95,100,163,5000,2500,5
164,300,200,2,2,0.95,100,164,5000,2500,5
165,300,200,2,2,0.95,100,165,5000,2500,5
166,300,200,2,2,0.95,100,166,5000,2500,5
167,300,200,2,2,0.95,100,167,5000,2500,5
168,300,200,2,2,0.95,100,168,5000,2500,5
169,300,200,2,2,0.95,100,169,5000,2500,5
170,300,200,2,2,0.95,100,170,5000,2500,5
171,300,200,2,2,0.95,100,171,5000,2500,5
172,300,200,2,2,0.95,100,172,5000,2500,5
173,300,200,2,2,0.95,100,173,5000,2500,5
174,300,200,2,2,0.95,100,174,5000,2500,5
175,300,200,2,2,0.95,100,175,5000,2500,5
176,300,200,2,2,0.95,100,176,5000,2500,5
177,300,200,2,2,0.95,100,177,5000,2500,5
178,300,200,2,2,0.95,100,178,5000,2500,5
179,300,200,2,2,0.95,100,179,5000,2500,5
180,300,200,2,2,0.95,100,180,5000,2500,5
181,300,200,2,2,0.95,100,181,5000,2500,5
182,300,200,2,2,0.95,100,182,5000,2500,5
183,300,200,2,2,0.95,100,183,5000,2500,5
184,300,200,2,2,0.95,100,184,5000,2500,5
185,300,200,2,2,0.95,100,185,5000,2500,5
186,300,200,2,2,0.95,100,186,5000,2500,5
187,300,200,2,2,0.95,100,187,5000,2500,5
188,300,200,2,2,0.95,100,188,5000,2500,5
189,300,200,2,2,0.95,100,189,5000,2500,5
190,300,200,2,2,0.95,100,190,5000,2500,5
191,300,200,2,2,0.95,100,191,5000,2500,5
192,300,200,2,2,0.95,100,192,5000,2500,5
193,300,200,2,2,0.95,100,193,5000,2500,5
194,300,200,2,2,0.95,100,194,5000,2500,5
195,300,200,2,2,0.95,100,195,5000,2500,5
196,300,200,2,2,0.95,100,196,5000,2500,5
197,300,200,2,2,0.95,100,197,5000,2500,5
198,300,200,2,2,0.95,100,198,5000,2500,5
199,300,200,2,2,0.95,100,199,5000,2500,5
200,300,200,2,2,0.95,100,200,5000,2500,5
201,300,200,2,2,0.95,100,201,5000,2500,5
202,300,200,2,2,0.95,100,202,5000,2500,5
203,300,200,2,2,0.95,100,203,5000,2500,5
204,300,200,2,2,0.95,100,204,5000,2500,5
205,300,200,2,2,0.95,100,205,5000,2500,5
206,300,200,2,2,0.95,100,206,5000,2500,5
207,300,200,2,2,0.95,100,207,5000,2500,5
208,300,200,2,2,0.95,100,208,5000,2500,5
209,300,200,2,2,0.95,100,209,5000,2500,5
210,300,200,2,2,0.95,100,210,5000,2500,5
211,300,200,2,2,0.95,100,211,5000,2500,5
212,300,200,2,2,0.95,100,212,5000,2500,5
213,300,200,2,2,0.95,100,213,5000,2500,5
214,300,200,2,2,0.95,100,214,5000,2500,5
215,300,200,2,2,0.95,100,215,5000,2500,5
216,300,200,2,2,0.95,100,216,5000,2500,5
217,300,200,2,2,0.95,100,217,5000,2500,5
218,300,200,2,2,0.95,100,218,5000,2500,5
219,300,200,2,2,0.95,100,219,5000,2500,5
220,300,200,2,2,0.95,100,220,5000,2500,5
221,300,200,2,2,0.95,100,221,5000,2500,5
222,300,200,2,2,0.95,100,222,5000,2500,5
223,300,200,2,2,0.95,100,223,5000,2500,5
224,300,200,2,2,0.95,100,224,5000,2500,5
225,300,200,2,2,0.95,100,225,5000,2500,5
226,300,200,2,2,0.95,100,226,5000,2500,5
227,300,200,2,2,0.95,100,227,5000,2500,5
228,300,200,2,2,0.95,100,228,5000,2500,5
229,300,200,2,2,0.95,100,229,5000,2500,5
230,300,200,2,2,0.95,100,230,5000,2500,5
231,300,200,2,2,0.95,100,231,5000,2500,5
232,300,200,2,2,0.95,100,232,5000,2500,5
233,300,200,2,2,0.95,100,233,5000,2500,5
234,300,200,2,2,0.95,100,234,5000,2500,5
235,300,200,2,2,0.95,100,235,5000,2500,5
236,300,200,2,2,0.95,100,236,5000,2500,5
237,300,200,2,2,0.95,100,237,5000,2500,5
238,300,200,2,2,0.95,100,238,5000,2500,5
239,300,200,2,2,0.95,100,239,5000,2500,5
240,300,200,2,2,0.95,100,240,5000,2500,5
241,300,200,2,2,0.95,100,241,5000,2500,5
242,300,200,2,2,0.95,100,242,5000,2500,5
243,300,200,2,2,0.95,100,243,5000,2500,5
244,300,200,2,2,0.95,100,244,5000,2500,5
245,300,200,2,2,0.95,100,245,5000,2500,5
246,300,200,2,2,0.95,100,246,5000,2500,5
247,300,200,2,2,0.95,100,247,5000,2500,5
248,300,200,2,2,0.95,100,248,5000,2500,5
249,300,200,2,2,0.95,100,249,5000,2500,5
250,300,200,2,2,0.95,100,250,5000,2500,5
251,300,200,2,2,0.95,100,251,5000,2500,5
252,300,200,2,2,0.95,100,252,5000,2500,5
253,300,200,2,2,0.95,100,253,5000,2500,5
254,300,200,2,2,0.95,100,254,5000,2500,5
255,300,200,2,2,0.95,100,255,5000,2500,5
256,300,200,2,2,0.95,100,256,5000,2500,5
257,300,200,2,2,0.95,100,257,5000,2500,5
258,300,200,2,2,0.95,100,258,5000,2500,5
259,300,200,2,2,0.95,100,259,5000,2500,5
260,300,200,2,2,0.95,100,260,5000,2500,5
261,300,200,2,2,0.95,100,261,5000,2500,5
262,300,200,2,2,0.95,100,262,5000,2500,5
263,300,200,2,2,0.95,100,263,5000,2500,5
264,300,200,2,2,0.95,100,264,5000,2500,5
265,300,200,2,2,0.95,100,265,5000,2500,5
266,300,200,2,2,0.95,100,266,5000,2500,5
267,300,200,2,2,0.95,100,267,5000,2500,5
268,300,200,2,2,0.95,100,268,5000,2500,5
269,300,200,2,2,0.95,100,269,5000,2500,5
270,300,200,2,2,0.95,100,270,5000,2500,5
271,300,200,2,2,0.95,100,271,5000,2500,5
272,300,200,2,2,0.95,100,272,5000,2500,5
273,300,200,2,2,0.95,100,273,5000,2500,5
274,300,200,2,2,0.95,100,274,5000,2500,5
275,300,200,2,2,0.95,100,275,5000,2500,5
276,300,200,2,2,0.95,100,276,5000,2500,5
277,300,200,2,2,0.95,100,277,5000,2500,5
278,300,200,2,2,0.95,100,278,5000,2500,5
279,300,200,2,2,0.95,100,279,5000,2500,5
280,300,200,2,2,0.95,100,280,5000,2500,5
281,300,200,2,2,0.95,100,281,5000,2500,5
282,300,200,2,2,0.95,100,282,5000,2500,5
283,300,200,2,2,0.95,100,283,5000,2500,5
284,300,200,2,2,0.95,100,284,5000,2500,5
285,300,200,2,2,0.95,100,285,5000,2500,5
286,300,200,2,2,0.95,100,286,5000,2500,5
287,300,200,2,2,0.95,100,287,5000,2500,5
288,300,200,2,2,0.95,100,288,5000,2500,5
289,300,200,2,2,0.95,100,289,5000,2500,5
290,300,200,2,2,0.95,100,290,5000,2500,5
291,300,200,2,2,0.95,100,291,5000,2500,5
292,300,200,2,2,0.95,100,292,5000,2500,5
293,300,200,2,2,0.95,100,293,5000,2500,5
294,300,200,2,2,0.95,100,294,5000,2500,5
295,300,200,2,2,0.95,100,295,5000,2500,5
296,300,200,2,2,0.95,100,296,5000,2500,5
297,300,200,2,2,0.95,100,297,5000,2500,5
298,300,200,2,2,0.95,100,298,5000,2500,5
299,300,200,2,2,0.95,100,299,5000,2500,5
300,300,200,2,2,0.95,100,300,5000,2500,5
301,300,200,2,2,0.95,100,301,5000,2500,5
302,300,200,2,2,0.95,100,302,5000,2500,5
303,300,200,2,2,0.95,100,303,5000,2500,5
304,300,200,2,2,0.95,100,304,5000,2500,5
305,300,200,2,2,0.95,100,305,5000,2500,5
306,300,200,2,2,0.95,100,306,5000,2500,5
307,300,200,2,2,0.95,100,307,5000,2500,5
308,300,200,2,2,0.95,100,308,5000,2500,5
309,300,200,2,2,0.95,100,309,5000,2500,5
310,300,200,2,2,0.95,100,310,5000,2500,5
311,300,200,2,2,0.95,100,311,5000,2500,5
312,300,200,2,2,0.95,100,312,5000,2500,5
313,300,200,2,2,0.95,100,313,5000,2500,5
314,300,200,2,2,0.95,100,314,5000,2500,5
315,300,200,2,2,0.95,100,315,5000,2500,5
316,300,200,2,2,0.95,100,316,5000,2500,5
317,300,200,2,2,0.95,100,317,5000,2500,5
318,300,200,2,2,0.95,100,318,5000,2500,5
319,300,200,2,2,0.95,100,319,5000,2500,5
320,300,200,2,2,0.95,100,320,5000,2500,5
321,300,200,2,2,0.95,100,321,5000,2500,5
322,300,200,2,2,0.95,100,322,5000,2500,5
323,300,200,2,2,0.95,100,323,5000,2500,5
324,300,200,2,2,0.95,100,324,5000,2500,5
325,300,200,2,2,0.95,100,325,5000,2500,5
326,300,200,2,2,0.95,100,326,5000,2500,5
327,300,200,2,2,0.95,100,327,5000,2500,5
328,300,200,2,2,0.95,100,328,5000,2500,5
329,300,200,2,2,0.95,100,329,5000,2500,5
330,300,200,2,2,0.95,100,330,5000,2500,5
331,300,200,2,2,0.95,100,331,5000,2500,5
332,300,200,2,2,0.95,100,332,5000,2500,5
333,300,200,2,2,0.95,100,333,5000,2500,5
334,300,200,2,2,0.95,100,334,5000,2500,5
335,300,200,2,2,0.95,100,335,5000,2500,5
336,300,200,2,2,0.95,100,336,5000,2500,5
337,300,200,2,2,0.95,100,337,5000,2500,5
338,300,200,2,2,0.95,100,338,5000,2500,5
339,300,200,2,2,0.95,100,339,5000,2500,5
340,300,200,2,2,0.95,100,340,5000,2500,5
341,300,200,2,2,0.95,100,341,5000,2500,5
342,300,200,2,2,0.95,100,342,5000,2500,5
343,300,200,2,2,0.95,100,343,5000,2500,5
344,300,200,2,2,0.95,100,344,5000,2500,5
345,300,200,2,2,0.95,100,345,5000,2500,5
346,300,200,2,2,0.95,100,346,5000,2500,5
347,300,200,2,2,0.95,100,347,5000,2500,5
348,300,200,2,2,0.95,100,348,5000,2500,5
349,300,200,2,2,0.95,100,349,5000,2500,5
350,300,200,2,2,0.95,100,350,5000,2500,5
351,300,200,2,2,0.95,100,351,5000,2500,5
352,300,200,2,2,0.95,100,352,5000,2500,5
353,300,200,2,2,0.95,100,353,5000,2500,5
354,300,200,2,2,0.95,100,354,5000,2500,5
355,300,200,2,2,0.95,100,355,5000,2500,5
356,300,200,2,2,0.95,100,356,5000,2500,5
357,300,200,2,2,0.95,100,357,5000,2500,5
358,300,200,2,2,0.95,100,358,5000,2500,5
359,300,200,2,2,0.95,100,359,5000,2500,5
360,300,200,2,2,0.95,100,360,5000,2500,5
361,300,200,2,2,0.95,100,361,5000,2500,5
362,300,200,2,2,0.95,100,362,5000,2500,5
363,300,200,2,2,0.95,100,363,5000,2500,5
364,300,200,2,2,0.95,100,364,5000,2500,5
